customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
CUST_00000,250,1,66.93,2,1,2,5,One-Time Buyer
CUST_00001,361,1,79.38,1,1,3,5,One-Time Buyer
CUST_00002,125,1,8.51,4,1,1,6,New Customer
CUST_00003,49,1,100.78,5,1,3,9,New Customer
CUST_00004,174,1,111.83,3,1,4,8,One-Time Buyer
CUST_00005,38,1,173.27,5,1,5,11,New Customer
CUST_00006,186,2,182.0,2,4,5,11,At Risk
CUST_00007,334,2,264.16,1,4,5,10,At Risk
CUST_00008,282,1,77.91,1,1,3,5,One-Time Buyer
CUST_00009,103,6,550.28,4,5,5,14,Champion
CUST_00010,10,1,28.0,5,1,1,7,New Customer
CUST_00011,125,1,66.97,4,1,2,7,New Customer
CUST_00012,249,1,58.0,2,1,1,4,One-Time Buyer
CUST_00013,139,1,56.55,3,1,1,5,One-Time Buyer
CUST_00014,162,1,76.32,3,1,3,7,One-Time Buyer
CUST_00015,26,1,79.74,5,1,3,9,New Customer
CUST_00016,239,1,28.0,2,1,1,4,One-Time Buyer
CUST_00017,156,1,193.37,3,1,5,9,One-Time Buyer
CUST_00018,150,1,182.32,3,1,5,9,One-Time Buyer
CUST_00019,187,2,117.88,2,4,4,10,At Risk
CUST_00020,47,1,83.27,5,1,3,9,New Customer
CUST_00021,57,1,79.55,5,1,3,9,New Customer
CUST_00022,315,1,73.95,1,1,2,4,One-Time Buyer
CUST_00023,138,1,62.0,3,1,2,6,One-Time Buyer
CUST_00024,313,1,105.63,1,1,4,6,One-Time Buyer
CUST_00025,324,2,176.70999999999998,1,4,5,10,At Risk
CUST_00026,47,1,78.0,5,1,3,9,New Customer
CUST_00027,47,1,78.0,5,1,3,9,New Customer
CUST_00028,326,1,153.51,1,1,4,6,One-Time Buyer
CUST_00029,68,1,74.52,5,1,3,9,New Customer
CUST_00030,153,1,42.0,3,1,1,5,One-Time Buyer
CUST_00031,139,1,241.5,3,1,5,9,One-Time Buyer
CUST_00032,75,2,175.95999999999998,5,4,5,14,Champion
CUST_00033,138,3,150.2,3,5,4,12,Loyal Customer
CUST_00034,334,1,278.0,1,1,5,7,One-Time Buyer
CUST_00035,75,3,358.0,5,5,5,15,Champion
CUST_00036,326,1,72.42,1,1,2,4,One-Time Buyer
CUST_00037,315,1,74.97,1,1,3,5,One-Time Buyer
CUST_00038,231,1,61.2,2,1,2,5,One-Time Buyer
CUST_00039,123,1,93.53,4,1,3,8,New Customer
CUST_00040,177,1,186.56,3,1,5,9,One-Time Buyer
CUST_00041,276,1,66.0,1,1,2,4,One-Time Buyer
CUST_00042,47,1,85.12,5,1,3,9,New Customer
CUST_00043,169,2,97.02,3,4,3,10,Loyal Customer
CUST_00044,257,1,54.0,2,1,1,4,One-Time Buyer
CUST_00045,75,1,81.31,5,1,3,9,New Customer
CUST_00046,149,1,56.18,3,1,1,5,One-Time Buyer
CUST_00047,103,10,915.77,4,5,5,14,Champion
CUST_00048,10,2,205.68,5,4,5,14,Champion
CUST_00049,47,3,425.48,5,5,5,15,Champion
CUST_00050,318,1,136.0,1,1,4,6,One-Time Buyer
CUST_00051,103,1,63.81,4,1,2,7,New Customer
CUST_00052,272,1,47.6,1,1,1,3,One-Time Buyer
CUST_00053,122,1,8.62,4,1,1,6,New Customer
CUST_00054,338,1,56.29,1,1,1,3,One-Time Buyer
CUST_00055,207,1,55.12,2,1,1,4,One-Time Buyer
CUST_00056,266,1,68.0,1,1,2,4,One-Time Buyer
CUST_00057,188,1,176.0,2,1,5,8,One-Time Buyer
CUST_00058,75,1,75.28,5,1,3,9,New Customer
CUST_00059,75,2,126.0,5,4,4,13,Champion
CUST_00060,124,1,53.04,4,1,1,6,New Customer
CUST_00061,123,2,192.93,4,4,5,13,Champion
CUST_00062,184,1,49.61,2,1,1,4,One-Time Buyer
CUST_00063,123,1,66.81,4,1,2,7,New Customer
CUST_00064,91,1,79.02,4,1,3,8,New Customer
CUST_00065,102,1,30.0,4,1,1,6,New Customer
CUST_00066,138,3,246.75,3,5,5,13,Loyal Customer
CUST_00067,100,4,650.13,4,5,5,14,Champion
CUST_00068,224,1,29.68,2,1,1,4,One-Time Buyer
CUST_00069,137,1,66.66,3,1,2,6,One-Time Buyer
CUST_00070,242,1,100.0,2,1,3,6,One-Time Buyer
CUST_00071,136,1,132.0,3,1,4,8,One-Time Buyer
CUST_00072,223,1,48.6,2,1,1,4,One-Time Buyer
CUST_00073,131,2,77.8,3,4,3,10,Loyal Customer
CUST_00074,66,1,74.0,5,1,2,8,New Customer
CUST_00075,12,2,250.0,5,4,5,14,Champion
CUST_00076,103,1,72.53,4,1,2,7,New Customer
CUST_00077,272,1,41.56,1,1,1,3,One-Time Buyer
CUST_00078,138,2,168.62,3,4,5,12,Loyal Customer
CUST_00079,133,1,8.78,3,1,1,5,One-Time Buyer
CUST_00080,51,1,116.97,5,1,4,10,New Customer
CUST_00081,312,1,143.55,1,1,4,6,One-Time Buyer
CUST_00082,132,1,67.82,3,1,2,6,One-Time Buyer
CUST_00083,147,2,180.0,3,4,5,12,Loyal Customer
CUST_00084,204,1,30.87,2,1,1,4,One-Time Buyer
